"referrer","line","candidate","token"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","51","docs/superpowers/notes/2026-05-28-qualitative-selection-acceptance-gate-note.md","`docs/superpowers/notes/2026-05-28-qualitative-selection-acceptance-gate-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","52","docs/superpowers/notes/2026-06-05-gaussian15-ms1-morphology-production-ready-closeout.md","`docs/superpowers/notes/2026-06-05-gaussian15-ms1-morphology-production-ready-closeout.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","53","docs/superpowers/notes/2026-06-05-gaussian15-ms1-peak-group-nl-scope-production-ready-closeout.md","`docs/superpowers/notes/2026-06-05-gaussian15-ms1-peak-group-nl-scope-production-ready-closeout.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","54","docs/superpowers/notes/2026-06-15-replay-executor-validation-note.md","`docs/superpowers/notes/2026-06-15-replay-executor-validation-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","55","docs/superpowers/notes/2026-06-18-backfill-autowrite-ground-truth-critical-review.md","`docs/superpowers/notes/2026-06-18-backfill-autowrite-ground-truth-critical-review.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","56","docs/superpowers/notes/2026-06-18-backfill-autowrite-ground-truth-strategy-note.md","`docs/superpowers/notes/2026-06-18-backfill-autowrite-ground-truth-strategy-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","57","docs/superpowers/notes/2026-06-18-chatgpt_reset_backfill_productization_objective.md","`docs/superpowers/notes/2026-06-18-chatgpt_reset_backfill_productization_objective.md`"
"docs/superpowers/plans/2026-05-03-output-maintainability-refactor.md","15","docs/superpowers/specs/2026-05-03-output-maintainability-design.md","`docs/superpowers/specs/2026-05-03-output-maintainability-design.md`"
"docs/superpowers/plans/2026-05-15-multi-nl-tag-and-artificial-adduct-plan.md","16","docs/superpowers/specs/2026-05-15-multi-nl-tag-and-artificial-adduct-contract.md","`docs/superpowers/specs/2026-05-15-multi-nl-tag-and-artificial-adduct-contract.md`"
"docs/superpowers/plans/2026-05-16-targeted-benchmark-reliability-plan.md","16","docs/superpowers/specs/2026-05-16-targeted-benchmark-reliability-spec.md","`docs/superpowers/specs/2026-05-16-targeted-benchmark-reliability-spec.md`"
"docs/superpowers/plans/2026-06-07-backfill-evidence-reconciliation-productization-plan.md","19","docs/superpowers/specs/2026-06-07-backfill-evidence-reconciliation-gallery-design.md","`docs/superpowers/specs/2026-06-07-backfill-evidence-reconciliation-gallery-design.md`"
"docs/superpowers/reports/2026-06-02-raw-to-final-matrix-product-story.html","1059","docs/superpowers/specs/2026-06-02-asls-primary-matrix-value-policy-spec.md","docs/superpowers/specs/2026-06-02-asls-primary-matrix-value-policy-spec.md"
"docs/superpowers/reports/2026-06-02-raw-to-final-matrix-product-story.html","1060","docs/superpowers/specs/2026-06-01-c4-peak-scoring-evidence-decision-design.md","docs/superpowers/specs/2026-06-01-c4-peak-scoring-evidence-decision-design.md"
"docs/superpowers/reports/2026-06-02-raw-to-final-matrix-product-story.html","1061","docs/superpowers/specs/2026-06-02-region-boundary-decision-owner-design.md","docs/superpowers/specs/2026-06-02-region-boundary-decision-owner-design.md"
"docs/superpowers/reports/2026-06-02-raw-to-final-matrix-product-story.html","1062","docs/superpowers/specs/2026-06-02-c6-cross-sample-peak-group-hypothesis-shadow-contract-design.md","docs/superpowers/specs/2026-06-02-c6-cross-sample-peak-group-hypothesis-shadow-contract-design.md"
"docs/superpowers/reports/2026-06-02-raw-to-final-matrix-product-story.html","1063","docs/superpowers/specs/2026-05-28-alignment-matrix-handoff-behavior-spec.md","docs/superpowers/specs/2026-05-28-alignment-matrix-handoff-behavior-spec.md"
"docs/superpowers/specs/2026-05-12-untargeted-performance-architecture-spec.md","44","docs/superpowers/specs/2026-05-06-numofinder-inspired-ms2-evidence-and-discovery-spec.md","`docs/superpowers/specs/2026-05-06-numofinder-inspired-ms2-evidence-and-discovery-spec.md`"
"docs/superpowers/specs/2026-05-22-untargeted-identity-coherence-prototype-story.html","381","docs/superpowers/specs/2026-05-22-untargeted-identity-coherence-prototype-spec.md","2026-05-22-untargeted-identity-coherence-prototype-spec.md"
"docs/superpowers/specs/2026-05-22-untargeted-identity-coherence-prototype-story.html","443","docs/superpowers/specs/2026-05-22-untargeted-identity-coherence-core-spec.md","2026-05-22-untargeted-identity-coherence-core-spec.md"
"docs/superpowers/specs/2026-05-22-untargeted-identity-coherence-prototype-story.html","444","docs/superpowers/specs/2026-05-22-untargeted-identity-coherence-controls-spec.md","2026-05-22-untargeted-identity-coherence-controls-spec.md"
"docs/superpowers/specs/2026-05-22-untargeted-identity-coherence-prototype-story.html","445","docs/superpowers/specs/2026-05-22-untargeted-identity-coherence-implementation-contract.md","2026-05-22-untargeted-identity-coherence-implementation-contract.md"
"docs/superpowers/specs/2026-05-22-untargeted-identity-coherence-prototype-story.html","446","docs/superpowers/specs/2026-05-22-untargeted-identity-coherence-downstream-audit-boundary.md","2026-05-22-untargeted-identity-coherence-downstream-audit-boundary.md"
"docs/superpowers/specs/2026-05-28-product-priority-reset-decision-spec.md","203","docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md","`docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md`"
"docs/superpowers/specs/2026-05-28-product-priority-reset-decision-spec.md","205","docs/superpowers/notes/2026-05-27-asls-minimal-closeout-note.md","`docs/superpowers/notes/2026-05-27-asls-minimal-closeout-note.md`"
"docs/superpowers/specs/2026-06-01-c6-alignment-stage-semantics-value-assessment-design.md","10","docs/superpowers/specs/2026-06-02-c6-cross-sample-peak-group-hypothesis-shadow-contract-design.md","2026-06-02-c6-cross-sample-peak-group-hypothesis-shadow-contract-design.md"
"docs/superpowers/specs/2026-06-01-c6-alignment-stage-semantics-value-assessment-design.md","6","docs/superpowers/specs/2026-05-24-peak-pipeline-cleanup-alignment-grouping-consolidation-spec.md","2026-05-24-peak-pipeline-cleanup-alignment-grouping-consolidation-spec.md"
"docs/superpowers/specs/2026-06-01-c6-alignment-stage-semantics-value-assessment-design.md","8","docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-current-state-reassessment-spec.md","2026-06-01-peak-pipeline-cleanup-current-state-reassessment-spec.md"
"docs/superpowers/specs/2026-06-01-c6-alignment-stage-semantics-value-assessment-design.md","887","docs/superpowers/specs/2026-05-11-untargeted-alignment-output-contract.md","2026-05-11-untargeted-alignment-output-contract.md"
"docs/superpowers/specs/2026-06-01-c6-alignment-stage-semantics-value-assessment-design.md","9","docs/superpowers/specs/2026-05-11-untargeted-alignment-output-contract.md","2026-05-11-untargeted-alignment-output-contract.md"
"docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md","36","docs/superpowers/specs/2026-06-02-mature-package-flow-reference-spec.md","2026-06-02-mature-package-flow-reference-spec.md"
"docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md","37","docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-current-state-reassessment-spec.md","2026-06-01-peak-pipeline-cleanup-current-state-reassessment-spec.md"
"docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md","38","docs/superpowers/specs/2026-06-01-technical-debt-and-dead-code-cleanup-roadmap-v2-spec.md","2026-06-01-technical-debt-and-dead-code-cleanup-roadmap-v2-spec.md"
"docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md","6","docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-current-state-reassessment-spec.md","2026-06-01-peak-pipeline-cleanup-current-state-reassessment-spec.md"
"docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md","7","docs/superpowers/specs/2026-06-01-technical-debt-and-dead-code-cleanup-roadmap-v2-spec.md","2026-06-01-technical-debt-and-dead-code-cleanup-roadmap-v2-spec.md"
"docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md","7","docs/superpowers/specs/2026-05-24-peak-pipeline-cleanup-roadmap-overview-spec.md","2026-05-24-peak-pipeline-cleanup-roadmap-overview-spec.md"
"docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md","8","docs/superpowers/notes/2026-06-02-c4-c6-region-foundation-closeout.md","notes/2026-06-02-c4-c6-region-foundation-closeout.md"
"docs/superpowers/specs/2026-06-02-cross-sample-peak-group-public-behavior-addendum.md","6","docs/superpowers/specs/2026-06-02-c6-cross-sample-peak-group-hypothesis-shadow-contract-design.md","`2026-06-02-c6-cross-sample-peak-group-hypothesis-shadow-contract-design.md`"
"docs/superpowers/specs/2026-06-02-public-behavior-retirement-productization-design.md","29","docs/superpowers/notes/2026-06-02-c4-c6-region-foundation-closeout.md","`docs/superpowers/notes/2026-06-02-c4-c6-region-foundation-closeout.md`"
"docs/superpowers/specs/2026-06-02-public-behavior-retirement-productization-design.md","30","docs/superpowers/specs/2026-06-01-c4-peak-scoring-evidence-decision-design.md","`docs/superpowers/specs/2026-06-01-c4-peak-scoring-evidence-decision-design.md`"
"docs/superpowers/specs/2026-06-02-public-behavior-retirement-productization-design.md","31","docs/superpowers/specs/2026-06-02-c6-cross-sample-peak-group-hypothesis-shadow-contract-design.md","`docs/superpowers/specs/2026-06-02-c6-cross-sample-peak-group-hypothesis-shadow-contract-design.md`"
"docs/superpowers/specs/2026-06-02-public-behavior-retirement-productization-design.md","32","docs/superpowers/specs/2026-06-02-region-boundary-decision-owner-design.md","`docs/superpowers/specs/2026-06-02-region-boundary-decision-owner-design.md`"
"docs/superpowers/specs/2026-06-02-public-behavior-retirement-productization-design.md","33","docs/superpowers/specs/2026-06-02-mature-package-flow-reference-spec.md","`docs/superpowers/specs/2026-06-02-mature-package-flow-reference-spec.md`"
"docs/superpowers/specs/2026-06-02-region-boundary-public-behavior-addendum.md","7","docs/superpowers/specs/2026-06-02-region-boundary-decision-owner-design.md","2026-06-02-region-boundary-decision-owner-design.md"
"docs/superpowers/specs/2026-06-02-selected-hypothesis-evidence-decision-public-behavior-addendum.md","9","docs/superpowers/specs/2026-06-01-c4-peak-scoring-evidence-decision-design.md","2026-06-01-c4-peak-scoring-evidence-decision-design.md"
"docs/superpowers/specs/2026-06-02-selected-hypothesis-model-selection-parity-spec.md","9","docs/superpowers/specs/2026-06-01-c4-peak-scoring-evidence-decision-design.md","2026-06-01-c4-peak-scoring-evidence-decision-design.md"
"docs/superpowers/specs/2026-06-03-full-untarget-peak-hypothesis-final-matrix-contract.md","16","docs/superpowers/specs/2026-05-14-final-matrix-identity-contract.md","`2026-05-14-final-matrix-identity-contract.md`"
"docs/superpowers/specs/2026-06-03-selected-full-envelope-quantitation-boundary-spec.md","8","docs/superpowers/specs/2026-06-02-asls-primary-matrix-value-policy-spec.md","2026-06-02-asls-primary-matrix-value-policy-spec.md"
"docs/superpowers/specs/2026-06-03-selected-full-envelope-quantitation-boundary-spec.md","8","docs/superpowers/specs/2026-06-02-mature-package-flow-reference-spec.md","2026-06-02-mature-package-flow-reference-spec.md"
"docs/superpowers/specs/2026-06-03-selected-full-envelope-quantitation-boundary-spec.md","8","docs/superpowers/specs/2026-06-02-region-boundary-decision-owner-design.md","2026-06-02-region-boundary-decision-owner-design.md"
"docs/superpowers/specs/2026-06-03-target-pair-rt-auto-reselection-spec.md","7","docs/superpowers/specs/2026-06-03-targeted-evidence-chain-alignment-spec.md","2026-06-03-targeted-evidence-chain-alignment-spec.md"
"docs/superpowers/specs/2026-06-03-target-pair-rt-auto-reselection-spec.md","7","docs/superpowers/specs/2026-06-02-mature-package-flow-reference-spec.md","2026-06-02-mature-package-flow-reference-spec.md"
"docs/superpowers/specs/2026-06-03-target-pair-rt-auto-reselection-spec.md","7","docs/superpowers/specs/2026-04-20-peak-scoring-tiered-design.md","2026-04-20-peak-scoring-tiered-design.md"
"docs/superpowers/specs/2026-06-15-method-manifest-v1-spec.md","469","docs/superpowers/notes/2026-06-15-replay-executor-validation-note.md","`docs/superpowers/notes/2026-06-15-replay-executor-validation-note.md`"
